number;ADM2_PCODE;Population;Kazakhs;ADM2_EN;ADM2_KK;ADM2_RU;ISO_3166_2;Area;Male;Female;Percentage_of_Kazakhs;color;difference
180;KZ613600;48591;46 717;Baydibek;Б?йдібек;Байдибек;KZ-YUZ1;7233;25 214;23 480;96%;1;712
181;KZ613800;187099;167 749;Zhetysai;Жетісай;Жетисайский;KZ-YUZ1;1046;96 310;91 238;90%;1;4 116
182;KZ613900;133756;123 013;Keles;Келес;Келесский;KZ-YUZ1;3451;69 109;64 993;92%;1;3 118
183;KZ614000;117845;108 490;Kazygurt;?азы??рт;Казыгуртский;KZ-YUZ1;4031;60 763;56 801;92%;1;2 717
184;KZ614400;129554;89 995;Maktaaral;Ма?таарал;Мактааральский;KZ-YUZ1;808;66 053;63 672;69%;1;2 950
185;KZ614600;129235;122 943;Ordabasy;Ордабасы;Ордабасынский;KZ-YUZ1;2594;66 754;62 441;95%;1;2 605
186;KZ614800;51525;50 685;Otrar;Отырар;Отрарский;KZ-YUZ1;16758;26 782;24 816;98%;1;898
187;KZ615200;237606;64 320;Sayram;Сайрам;Сайрамский;KZ-YUZ1;1148;119 607;117 218;27%;3;5 877
188;KZ615400;222490;191 156;Saryagash;Сарыа?аш;Сарыагашский;KZ-YUZ1;4171;112 299;109 413;86%;1;5 096
189;KZ615600;63158;57 317;Suzak;Соза?;Сузакский;KZ-YUZ1;41049;32 391;30 805;91%;1;1 202
190;KZ615800;122038;83 545;Tolebi;Т?леби;Толебийский;KZ-YUZ1;3064;62 019;59 879;68%;1;2 371
191;KZ616000;106229;85 217;Tyulkubas;Т?лкібас;Тюлькубасский;KZ-YUZ1;2275;54 167;52 175;80%;1;1 590
192;KZ616400;84615;81 290;Shardara;Шардара;Шардаринский;KZ-YUZ1;12872;44 244;40 450;96%;1;1 675
193;KZ621000;93261;67 614;Zhezkazgan;Жез?аз?ан;Жезказган;KZ-ULT1;1760;44 999;48 164;72%;1;893
194;KZ621800;17303;13 868;Karazhal;?аражал;Каражал;KZ-ULT1;792;8 630;8 684;80%;1;214
195;KZ622010;68926;48 390;Satpaev;С?тбаев;Сатпаев;KZ-ULT1;1104;33 162;35 825;70%;1;840
196;KZ623600;30869;29 192;Zhanaarka;Жа?аар?а;Жанааркинский;KZ-ULT1;62347;15 823;15 108;95%;1;462
197;KZ623800;11172;10 604;Ulytau;?лытау;Улытауский;KZ-ULT1;122931;5 969;5 218;95%;1;125
198;KZ631000;375363;190 012;Ust-Kamenogorsk;?скемен;Усть-Каменогорск;KZ-VOS1;543;175 675;199 015;51%;1;1 299
199;KZ632400;51380;10 768;Ridder;Риддер;Риддер;KZ-VOS1;77;23 855;27 653;21%;2;-377
200;KZ634000;56373;18 467;Glubokoe;Глубокое;Глубоковский;KZ-VOS1;7300;27 638;28 855;33%;2;-241
201;KZ634600;35551;34 470;Zaysan;Зайсан;Зайсанский;KZ-VOS1;8900;17 976;17 703;97%;1;403
202;KZ634800;60153;16 108;Altay;Алтай;Алтайский;KZ-VOS1;10500;28 401;32 044;27%;2;-456
203;KZ635200;21722;20 064;Kurshum;К?ршім;Курчумский;KZ-VOS1;12200;11 160;10 628;92%;1;114
204;KZ635400;20482;16 876;Katonkaragay;?атон?ара?ай;Катон-Карагайский;KZ-VOS1;9400;10 563;10 044;82%;1;-43
205;KZ635600;11682;8 135;Samar;Самар;Самарский;KZ-VOS1;5500;5 810;5 858;70%;1;-26
206;KZ635800;18848;18 760;Tarbagatay;Тарба?атай;Тарбагатайский;KZ-VOS1;10200;9 931;9 073;100%;1;169
207;KZ636200;33562;25 203;Ulan;?лан;Уланский;KZ-VOS1;9600;17 010;16 630;75%;1;66
208;KZ636800;41268;9 097;Shemonaikha;Шемонаиха;Шемонаихинский;KZ-VOS1;4000;20 258;21 273;22%;2;-229
209;KZ711110;401758;321 066;Almaty;Алматы;Алматинский;KZ-AST1;155;183 673;201 521;80%;1;8 010
210;KZ711210;458306;398 136;Esil;Есіл;Есильский;KZ-AST1;200;215 150;237 635;87%;1;8 777
211;KZ711310;351313;265 016;Saryarka;Сарыар?а;Сарыаркинский;KZ-AST1;68;167 668;183 168;75%;1;4 613
212;KZ711410;240148;183 227;Baykonyr;Бай?о?ыр;Байконырский;KZ-AST1;181;113 568;127 734;76%;1;2 622
213;KZ711510;;;Nura;Н?ра;Нуринский;KZ-AST1;193;;;;1;
214;KZ751110;266997;154 774;Almaly;Алмалы;Алмалинский;KZ-ALA1;18;120 559;145 518;58%;1;1 451
215;KZ751210;374146;288 151;Alatau;Алатау;Алатауский;KZ-ALA1;105;176 798;193 200;77%;1;7 354
216;KZ751310;358257;223 861;Auezov;?уезов;Ауэзовский;KZ-ALA1;24;161 535;196 597;62%;1;2 881
217;KZ751410;331138;206 152;Bostandyk;Бостанды?;Бостандыкский;KZ-ALA1;100;149 545;179 243;62%;1;2 417
218;KZ751510;198831;100 836;Zhetysu;Жетісу;Жетысуский;KZ-ALA1;37;92 440;106 079;51%;1;1 779
219;KZ751710;248456;147 297;Medeu;Медеу;Медеуский;KZ-ALA1;253;118 380;128 986;59%;1;1 762
220;KZ751810;205888;163 356;Nauryzbay;Наурызбай;Наурызбайский;KZ-ALA1;70;93 250;107 252;79%;1;3 767
221;KZ751910;261111;135 042;Turksib;Т?ркісіб;Турксибский;KZ-ALA1;76;123 300;135 995;52%;1;2 154
